GO_ID,level,depth,GO_Term,study_count,study_n,pop_count,pop_n,enrichment,adj_p_fdr_bh
GO:0016020,2,2,membrane,4,18,4,30522,e,1.6081245933801795e-11
GO:0005634,5,5,nucleus,2,18,2,30522,e,5.200942285713235e-06
GO:0005739,5,5,mitochondrion,2,18,2,30522,e,5.200942285713235e-06
GO:0005886,3,3,plasma membrane,2,18,2,30522,e,5.200942285713235e-06
GO:0005789,4,4,endoplasmic reticulum membrane,2,18,2,30522,e,5.200942285713235e-06
GO:0012510,6,8,trans-Golgi network transport vesicle membrane,1,18,1,30522,e,0.0005897385492713019
GO:0090406,4,4,pollen tube,1,18,1,30522,e,0.0005897385492713019
GO:0009570,3,3,chloroplast stroma,1,18,1,30522,e,0.0005897385492713019
GO:0042807,7,7,central vacuole,1,18,1,30522,e,0.0005897385492713019
GO:0032010,9,9,phagolysosome,1,18,1,30522,e,0.0005897385492713019
GO:0009524,2,2,phragmoplast,1,18,1,30522,e,0.0005897385492713019
GO:0097232,6,7,lamellar body membrane,1,18,1,30522,e,0.0005897385492713019
GO:0031966,4,4,mitochondrial membrane,1,18,1,30522,e,0.0005897385492713019
GO:0005802,4,4,trans-Golgi network,1,18,1,30522,e,0.0005897385492713019
GO:0005829,2,2,cytosol,1,18,1,30522,e,0.0005897385492713019
GO:0005764,7,7,lysosome,1,18,1,30522,e,0.0005897385492713019
GO:0005938,3,3,cell cortex,1,18,1,30522,e,0.0005897385492713019
GO:0035267,7,9,NuA4 histone acetyltransferase complex,1,18,1,30522,e,0.0005897385492713019
GO:0005769,8,8,early endosome,1,18,1,30522,e,0.0005897385492713019
GO:0005794,5,5,Golgi apparatus,1,18,1,30522,e,0.0005897385492713019
GO:0005819,5,5,spindle,1,18,1,30522,e,0.0005897385492713019
GO:0097208,10,10,alveolar lamellar body,1,18,1,30522,e,0.0005897385492713019
GO:0005770,8,8,late endosome,1,18,1,30522,e,0.0005897385492713019
GO:0005783,5,5,endoplasmic reticulum,1,18,1,30522,e,0.0005897385492713019
GO:0032586,7,7,protein storage vacuole membrane,1,18,1,30522,e,0.0005897385492713019
GO:0005874,6,6,microtubule,1,18,1,30522,e,0.0005897385492713019
GO:0005654,2,2,nucleoplasm,1,18,1,30522,e,0.0005897385492713019
GO:0009507,6,6,chloroplast,1,18,1,30522,e,0.0005897385492713019
GO:0030670,6,7,phagocytic vesicle membrane,1,18,1,30522,e,0.0005897385492713019
GO:0005737,2,2,cytoplasm,1,18,1,30522,e,0.0005897385492713019
